Stations_ID;Von_Datum;Bis_Datum;Stationshoehe;geoBreite;geoLaenge;Stationsname;Bundesland
00001; 19490101; 19860630;            478;     47.8413;    8.8493; Aach                                  ;Baden-Württemberg
00003; 18910101; 20110331;            202;     50.7827;    6.0941; Aachen                                ;Nordrhein-Westfalen
00044; 19710301; 20111231;             44;     52.9336;    8.2370; Großenkneten                          ;Niedersachsen
00052; 19730101; 20011231;             46;     53.6623;   10.1990; Ahrensburg-Wulfsdorf                  ;Schleswig-Holstein
00061; 19750701; 19780831;            339;     48.8443;   12.6171; Aiterhofen                            ;Bayern
00070; 19730601; 19860930;            712;     48.2052;    9.0371; Albstadt-Ebingen                      ;Baden-Württemberg
00071; 19861101; 20111231;            759;     48.2156;    8.9784; Albstadt-Badkap                       ;Baden-Württemberg
00072; 19781001; 19950531;            794;     48.2766;    9.0001; Albstadt-Onstmettingen                ;Baden-Württemberg
00073; 19590301; 20111231;            340;     48.6159;   13.0506; Aldersbach-Kriestorf                  ;Bayern
00078; 19610101; 20111231;             64;     52.4853;    7.9125; Alfhausen                             ;Niedersachsen
00091; 19781101; 20111231;            300;     50.7446;    9.3450; Alsfeld-Eifa                          ;Hessen
00093; 19771201; 19781031;            269;     50.7691;    9.2542; Alsfeld-Reibertenrod                  ;Hessen
00098; 18870215; 19541231;            780;     51.1890;    8.4671; Altastenberg                          ;Nordrhein-Westfalen
00106; 19730101; 19960229;            500;     51.7976;   10.4429; Altenau                               ;Niedersachsen
00116; 18990601; 19730531;            213;     50.9833;   12.4333; Altenburg                             ;Thüringen
00129; 19910101; 20061231;             28;     53.6893;   13.2420; Altentreptow                          ;Mecklenburg-Vorpommern
00131; 20041101; 20111231;            296;     51.0881;   12.9326; Geringswalde-Altgeringswalde          ;Sachsen
00132; 19531211; 19870930;            750;     49.7725;   12.3891; Altglashütte                          ;Bayern
00142; 19550101; 20111231;            511;     48.4060;   11.3117; Altomünster-Maisbrunn                 ;Bayern
00150; 19510101; 20111231;            215;     49.7273;    8.1164; Alzey                                 ;Rheinland-Pfalz
00151; 19490101; 20111231;            382;     49.4691;   11.8546; Amberg-Unterammersricht               ;Bayern
00154; 19940101; 20111231;            516;     48.0197;   12.2925; Amerang-Pfaffing                      ;Bayern
00164; 19460603; 20181008;             54;     53.0316;   13.9908; Angermünde                            ;Brandenburg
00167; 20040901; 20111231;             11;     53.8409;   13.6854; Anklam                                ;Mecklenburg-Vorpommern
