X;Y;Z
-127; -162; 997
-128; -162; 997
-127; -162; 996
-127; -162; 997
-128; -162; 997
-127; -162; 997
-127; -161; 996
-128; -163; 997
-127; -161; 996
-127; -162; 997
-127; -162; 996
-127; -161; 997
-127; -161; 996
-128; -161; 996
-127; -161; 997
-127; -162; 997
-128; -162; 995
-127; -162; 998
-127; -162; 997
-127; -161; 996
-126; -163; 997
-126; -161; 997
-128; -161; 996
-127; -161; 996
-128; -162; 997
-129; -162; 997
-127; -161; 996
-127; -160; 996
-127; -162; 996
-127; -162; 997
-127; -162; 995
-127; -162; 996
-127; -162; 997
-128; -162; 997
-128; -163; 997
-127; -163; 997
-126; -163; 999
-127; -157; 996
-128; -163; 996
-127; -161; 996
-127; -161; 997
-127; -163; 997
-128; -162; 996
-127; -160; 995
-126; -163; 997
-128; -160; 996
-127; -163; 998
-127; -160; 997
-127; -160; 997
-126; -162; 996
-127; -162; 997
-128; -160; 995
-128; -163; 999
-127; -160; 996
-131; -162; 996
-299; -145; 1010
-128; -161; 998
-165; -153; 1019
-109; -164; 1093
-125; -162; 997
-87; -223; 1040
-100; -138; 1000
-194; -127; 1068
-172; -156; 1045
-276; -112; 993
-279; -82; 950
-361; -62; 960
-452; -33; 958
-523; -10; 965
-462; 22; 752
-581; 8; 879
-756; 46; 820
-796; 81; 518
-761; 78; 588
-902; 170; 574
-850; 124; 560
-908; 92; 401
-888; 89; 369
-921; 137; 406
-974; 150; 409
-920; 139; 325
-933; 147; 305
-921; 149; 312
-946; 146; 256
-964; 130; 356
-881; 148; 395
-874; 152; 403
-851; 150; 618
-813; 150; 684
-748; 116; 641
